date,rank,ticker6,name,market_cap,predicted_gap,predicted_gap_net,vol_ratio,primary_driver,drivers_str
2026-06-02,1,003550,LG,25569938793000,0.04732,0.04232,9.154,NVDA,XLK:β+0.62@+1.55%; TSM:β+0.31@+1.25%; NVDA:β+0.31@+1.93%
2026-06-02,2,001820,삼화콘덴서,1185030000000,0.03975,0.03475,8.097,XLK,XLK:β+0.93@+2.30%; MU:β+0.25@+1.67%
2026-06-02,3,241520,DSC인베스트먼트,342076000000,0.03721,0.03221,2.961,EWY,XLK:β+0.74@+1.83%; EWY:β+0.36@+1.89%
2026-06-03,1,007390,네이처셀,1981377972000,0.03477,0.02977,8.174,SMH,AMD:β+0.24@+0.54%; SMH:β+0.44@+1.76%; SMCI:β+0.17@+1.18%
2026-06-03,2,134380,미원화학,223225702000,0.0103,0.0053,6.113,MSFT,MSFT:β-0.25@+1.03%
2026-06-03,3,270660,에브리봇,179825561110,0.01947,0.01447,1.571,URA,URA:β+0.26@+1.47%; AMD:β+0.21@+0.48%
2026-06-03,1,007390,네이처셀,1981377972000,0.03477,0.02977,8.174,SMH,AMD:β+0.24@+0.54%; SMH:β+0.44@+1.76%; SMCI:β+0.17@+1.18%
2026-06-03,2,134380,미원화학,223225702000,0.0103,0.0053,6.113,MSFT,MSFT:β-0.25@+1.03%
2026-06-03,3,270660,에브리봇,179825561110,0.01947,0.01447,1.571,URA,URA:β+0.26@+1.47%; AMD:β+0.21@+0.48%
2026-06-04,1,347700,스피어,1651464912500,0.03923,0.03423,1.641,META,META:β+0.50@+2.13%; XBI:β+0.63@+1.02%; AMD:β+0.19@+0.78%
2026-06-04,2,006110,삼아알미늄,1197777636000,0.01945,0.01445,1.795,MSFT,MSFT:β-0.41@+1.30%; AMD:β+0.16@+0.65%
2026-06-04,3,189300,인텔리안테크,1341113375300,0.01892,0.01392,1.773,XBI,XBI:β+0.59@+0.96%; AMD:β+0.23@+0.93%
2026-06-04,1,347700,스피어,1651464912500,0.03923,0.03423,1.641,META,META:β+0.50@+2.13%; XBI:β+0.63@+1.02%; AMD:β+0.19@+0.78%
2026-06-04,2,006110,삼아알미늄,1197777636000,0.01945,0.01445,1.795,MSFT,MSFT:β-0.41@+1.30%; AMD:β+0.16@+0.65%
2026-06-04,3,189300,인텔리안테크,1341113375300,0.01892,0.01392,1.773,XBI,XBI:β+0.59@+0.96%; AMD:β+0.23@+0.93%
2026-06-05,1,347850,디앤디파마텍,4117589818000,0.05246,0.04746,3.682,XLV,XLV:β+1.16@+3.55%; XBI:β+0.61@+1.69%
