code,snapshot_date,Unnamed: 0,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
027360,2026-05-13,257,KR7027360007,아주IB투자,KOSDAQ,중견기업부,15710,2,-1140,-6.77,16930,17470,15630,5143762,83370485550,1903194328260,121145406,KSQ
101490,2026-05-13,258,KR7101490001,에스앤에스텍,KOSDAQ,우량기업부,89000,1,4400,5.2,83600,90100,82000,266456,23063894400,1898804231000,21334879,KSQ
023590,2026-05-13,259,KR7023590003,다우기술,KOSPI,,43250,2,-1000,-2.26,44250,46200,42850,59511,2574378450,1872176244000,43287312,STK
005070,2026-05-13,260,KR7005070008,코스모신소재,KOSPI,,55400,2,-1500,-2.64,55700,56600,53800,235207,12999980950,1840087233400,33214571,STK
189300,2026-05-13,261,KR7189300007,인텔리안테크,KOSDAQ,우량기업부,170600,1,8800,5.44,168000,172900,163800,149508,25208044850,1831816988200,10737497,KSQ
039200,2026-05-13,262,KR7039200001,오스코텍,KOSDAQ,벤처기업부,47650,2,-1900,-3.83,50900,51100,47100,260714,12557236700,1823002086400,38258176,KSQ
361610,2026-05-13,263,KR7361610009,SK아이이테크놀로지,KOSPI,,22050,2,-900,-3.92,23000,23050,22000,239210,5318631000,1803405555000,81787100,STK
003540,2026-05-13,264,KR7003540002,대신증권,KOSPI,,35750,2,-950,-2.59,36350,36500,35650,108081,3883732100,1759606527250,49219763,STK
395400,2026-05-13,265,KR7395400005,SK리츠,KOSPI,,5830,2,-260,-4.27,6090,6100,5770,475807,2788927505,1754932724600,301017620,STK
001120,2026-05-13,266,KR7001120005,LX인터내셔널,KOSPI,,45250,2,-450,-0.98,46400,46700,44500,224430,10125093925,1753890000000,38760000,STK
462870,2026-05-13,267,KR7462870007,시프트업,KOSPI,,29800,2,-350,-1.16,30200,30500,29550,69922,2083666275,1747899332000,58654340,STK
099320,2026-05-13,268,KR7099320004,쎄트렉아이,KOSDAQ,우량기업부,159600,2,-4000,-2.44,164400,166300,157000,156122,24943004450,1747823968800,10951278,KSQ
437730,2026-05-13,269,KR7437730005,삼현,KOSDAQ,기술성장기업부,54100,1,700,1.31,53600,55100,52400,193058,10424643650,1715379374700,31707567,KSQ
003570,2026-05-13,270,KR7003570009,SNT다이내믹스,KOSPI,,50700,2,-400,-0.78,51800,51800,50200,91867,4657160950,1685911737900,33252697,STK
038500,2026-05-13,271,KR7038500005,삼표시멘트,KOSDAQ,우량기업부,15560,1,1740,12.59,13770,16900,13630,27727904,441317300785,1679177721360,107916306,KSQ
491000,2026-05-13,272,KR7491000006,리브스메드,KOSDAQ,기술성장기업부,66900,1,2100,3.24,68200,71400,65500,456384,31188747300,1672793757900,25004391,KSQ
475150,2026-05-13,273,KR7475150009,SK이터닉스,KOSPI,,49000,2,-2700,-5.22,50800,52400,48800,579293,28752310375,1669283196000,34067004,STK
475830,2026-05-13,274,KR7475830006,오름테라퓨틱,KOSDAQ,기술성장기업부,76600,2,-5800,-7.04,83500,85800,76100,219908,17359422350,1647920695000,21513325,KSQ
006040,2026-05-13,275,KR7006040000,동원산업,KOSPI,,36800,2,-100,-0.27,37500,37600,36550,103150,3801379125,1624645884800,44147986,STK
232140,2026-05-13,276,KR7232140004,와이씨,KOSDAQ,우량기업부,19790,2,-360,-1.79,19950,20200,19180,875959,17189494455,1623677476500,82045350,KSQ
006280,2026-05-13,277,KR7006280002,녹십자,KOSPI,,138200,1,900,0.66,149700,153500,135900,174454,24917128600,1615079551600,11686538,STK
420770,2026-05-13,278,KR7420770000,기가비스,KOSDAQ,우량기업부,127100,1,12300,10.71,109600,129000,107000,213382,26259011500,1611088841800,12675758,KSQ
417200,2026-05-13,279,KR7417200003,LS머트리얼즈,KOSDAQ,중견기업부,23650,2,-900,-3.67,23950,24650,23350,1900588,45285485975,1599985385350,67652659,KSQ
069620,2026-05-13,280,KR7069620003,대웅제약,KOSPI,,138000,2,-5700,-3.97,144900,146900,137700,48463,6741964150,1598947350000,11586575,STK
445680,2026-05-13,281,KR7445680002,큐리옥스바이오시스템즈,KOSDAQ,기술성장기업부,92500,2,-400,-0.43,94300,94900,90400,75768,7019172900,1591301087500,17203255,KSQ
030610,2026-05-13,282,KR7030610000,교보증권,KOSPI,,13760,2,-170,-1.22,13610,13910,13400,137828,1890995445,1568130343360,113962961,STK
003530,2026-05-13,284,KR7003530003,한화투자증권,KOSPI,,7280,2,-330,-4.34,7480,7540,7230,3436047,25169419415,1561907802000,214547775,STK
090710,2026-05-13,285,KR7090710005,휴림로봇,KOSDAQ,중견기업부,12760,2,-210,-1.62,13070,13440,12410,8397326,107621203895,1524273833720,119457197,KSQ
397030,2026-05-13,286,KR7397030008,에이프릴바이오,KOSDAQ,기술성장기업부,64700,2,-8600,-11.73,74200,74600,64200,417510,28292079450,1514874542200,23413826,KSQ
458870,2026-05-13,287,KR7458870003,씨어스,KOSDAQ,기술성장기업부,39700,2,-1400,-3.41,42650,43200,38400,536135,21402784850,1510971678000,38059740,KSQ
290650,2026-05-13,288,KR7290650001,엘앤씨바이오,KOSDAQ,우량기업부,60600,2,-1600,-2.57,64000,65000,60200,197983,12208768650,1505732017800,24847063,KSQ
