code,snapshot_date,market,name,market_cap,volume,yf_ticker
021820,2026-08-19,KOSPI,세원정공,101800000000.0,27889,021820.KS
083500,2026-08-19,KOSDAQ,에프엔에스테크,101670054480.0,44114,083500.KQ
131030,2026-08-19,KOSDAQ,옵투스제약,101467892500.0,33432,131030.KQ
475580,2026-08-19,KOSDAQ,에이럭스,101369256000.0,58157,475580.KQ
187790,2026-08-19,KOSDAQ,나노,101157922400.0,155160,187790.KQ
123690,2026-08-19,KOSPI,한국화장품,100907040000.0,55660,123690.KS
092220,2026-08-19,KOSPI,KEC,100783096280.0,205294,092220.KS
119650,2026-08-19,KOSPI,KC코트렐,100782913662.0,0,119650.KS
001290,2026-08-19,KOSPI,상상인증권,100645184480.0,614853,001290.KS
336680,2026-08-19,KOSDAQ,탑런토탈솔루션,100604084060.0,7827,336680.KQ
331920,2026-08-19,KOSDAQ,셀레믹스,100522179450.0,34205,331920.KQ
002450,2026-08-19,KOSPI,삼익악기,100398784735.0,206783,002450.KS
309960,2026-08-19,KOSDAQ,LB인베스트먼트,100066300090.0,27949,309960.KQ
