date,rank,ticker6,name,primary_driver,predicted,predicted_net,actual,vol_ratio,strategy_name
2026-04-03,3,009160,SIMPAC,NFLX,0.00939144256349843,0.00439144256349843,0.0,1.7343728113181118,no_vol_cap
2026-04-06,1,091810,트리니티항공,AMD,0.036423503958426556,0.03142350395842656,-0.0023446658851113715,1.724956990756757,no_vol_cap
2026-04-06,2,024060,흥구석유,EWY,0.015990951019025024,0.010990951019025023,0.011363636363636364,1.646060500294034,no_vol_cap
2026-04-07,1,093370,후성,MU,0.007182468996258647,0.0021824689962586467,0.022222222222222223,25.384585384877884,no_vol_cap
2026-04-07,2,060250,NHN KCP,EWY,0.00783231514355814,0.0028323151435581404,0.007702182284980745,6.295767796023536,no_vol_cap
2026-04-08,1,356680,엑스게이트,SMCI,0.007138201533761071,0.002138201533761071,0.02857142857142857,2.279733063557141,no_vol_cap
2026-04-08,2,101670,하이드로리튬,GOOGL,0.005795310665037497,0.0007953106650374969,0.0340632603406326,2.767413268700276,no_vol_cap
2026-04-09,1,321260,프로이천,SMH,0.024998413752170136,0.019998413752170135,0.014466546112115732,275.24589978637067,no_vol_cap
2026-04-09,2,079900,전진건설로봇,EWY,0.06504691854680464,0.06004691854680464,-0.06301369863013699,38.879735158458566,no_vol_cap
2026-04-09,3,062970,한국첨단소재,TSM,0.09120298964567519,0.08620298964567519,,23.50277423750352,no_vol_cap
2026-04-10,1,093370,후성,MU,0.01599882002360339,0.01099882002360339,-0.026690391459074734,63.02889945825346,no_vol_cap
2026-04-10,2,259630,엠플러스,SMH,0.00806916605657553,0.0030691660565755298,0.002638522427440633,33.69574610053711,no_vol_cap
2026-04-10,3,365330,에스와이스틸텍,XLY,0.014251554489932206,0.009251554489932205,0.024739583333333332,9.466098625384475,no_vol_cap
2026-04-13,1,062970,한국첨단소재,SMCI,0.031980507539159,0.026980507539159,-0.01726263871763255,7.362046106929318,no_vol_cap
2026-04-13,2,228670,레이,AMZN,0.007092093871164936,0.002092093871164936,0.012413793103448275,57.65760581777103,no_vol_cap
2026-04-13,3,091810,트리니티항공,AMD,0.037015375463759874,0.032015375463759876,-0.015873015873015872,2.5859333583050357,no_vol_cap
2026-04-14,1,321260,프로이천,XLK,0.0054384875404624635,0.0004384875404624634,-0.024390243902439025,463.9223537604457,no_vol_cap
2026-04-14,2,009410,태영건설,MSFT,0.01959674253828741,0.01459674253828741,0.01590559261159569,1.991150059298827,no_vol_cap
2026-04-14,3,260970,에스앤디,XLF,0.018583166621078652,0.013583166621078651,0.012027491408934709,2.06665822624549,no_vol_cap
2026-04-15,1,356680,엑스게이트,XLK,0.035353123862068556,0.030353123862068555,0.2992992992992993,55.47960521509779,no_vol_cap
2026-04-15,2,432720,퀄리타스반도체,NVDA,0.07027902841033787,0.06527902841033786,0.0364963503649635,19.179974440184477,no_vol_cap
2026-04-15,3,102120,어보브반도체,TSM,0.04336105390693018,0.03836105390693018,0.02549342105263158,18.445133479142726,no_vol_cap
2026-04-16,1,158430,아톤,TSLA,0.0269507624262091,0.021950762426209098,0.17687074829931973,72.23002686879661,no_vol_cap
2026-04-16,2,095700,제넥신,MSFT,0.014391478461221408,0.009391478461221407,0.018779342723004695,39.32047260986333,no_vol_cap
2026-04-16,3,452190,한빛레이저,XLK,0.0065360232373844135,0.0015360232373844134,0.026515151515151516,185.3485633014067,no_vol_cap
2026-04-17,1,042510,라온시큐어,MSFT,0.007022371693795017,0.0020223716937950165,-0.1609344581440623,130.88620873585018,no_vol_cap
2026-04-17,2,051980,중앙첨단소재,AMD,0.024177619646204056,0.019177619646204055,0.007425742574257425,4.572662863105739,no_vol_cap
2026-04-17,3,356680,엑스게이트,SMCI,0.011043430856398985,0.0060434308563989845,0.025489033787788974,6.765496129034694,no_vol_cap
